id_acciones_presencia,fecha_hecho,fuente,municipio,departamento,region,pdet,pnis,zona,evento,tipo_accion,accion,acciones_tradicionales,aux_responsable,subgrupo_responsable,total_victimas,descripcion_hecho,actor_consolidado,tipo_accion_clean,departamento_clean,municipio_clean,largo_texto,renta_ilicita_identificada,afecta_sector_privado,llave_geo,impactos_sectoriales,sectores_afectados_lista
20201,2026-07-31,el espectador,Silvia,Cauca,Pacífico,False,False,Rural,Acciones de los grupos armados al margen de la ley,Masacre,Otra,True,"ejercito nacional, desconocido",,3,"en cauca, tres militares retirados —el coronel (r) libardo osorio sanchez y los mayores (r) harold sanchez vergara y rodrigo amortegui— fueron asesinados el 30 de julio de 2026 mientras se desplazaban en bicicleta por la via entre silvia y totoro, en el sector de miraflores. segun la informacion preliminar, un grupo armado los intercepto y les disparo a corta distancia, causandoles la muerte. las autoridades no habian establecido aun el responsable, aunque en la zona tienen presencia las disidencias de las farc y el eln, que mantienen disputas por el control territorial.","ejercito nacional, desconocido",Masacre,Cauca,Silvia,93,Ninguna,False,Silvia - Cauca,{},Ninguno
20204,2026-07-31,ejercito nacional,La Pintada,Antioquia,Andina,False,False,Urbana,Acciones de la fuerza publica y otros servidores publicos,Mineria,Otra,False,"otro grupo armado ilegal, ejercito nacional",clan del golfo,0,"en la pintada y san francisco, antioquia, tropas del ejercito nacional intervinieron dos unidades de produccion minera ilegal que, segun informacion de inteligencia militar, eran utilizadas por el clan del golfo. durante la operacion fueron destruidos o inutilizados equipos y maquinaria empleados para la explotacion ilicita de oro, entre ellos una draga, una retroexcavadora, una plataforma de lavado, cinco motores y tres clasificadoras, ademas de combustibles y otros elementos. la operacion represento una afectacion economica superior a $800 millones y evito una extraccion estimada de 8.400 gramos de oro mensuales, valorados en aproximadamente $3.915 millones","otro grupo armado ilegal, ejercito nacional",Mineria,Antioquia,La Pintada,95,Minería,False,La Pintada - Antioquia,"{""Minero"": ""Negativo""}",Minero
20205,2026-07-31,ejercito nacional,San Francisco,Antioquia,Andina,False,False,,Acciones de la fuerza publica y otros servidores publicos,Mineria,Otra,False,"otro grupo armado ilegal, ejercito nacional",clan del golfo,0,"en la pintada y san francisco, antioquia, tropas del ejercito nacional intervinieron dos unidades de produccion minera ilegal que, segun informacion de inteligencia militar, eran utilizadas por el clan del golfo. durante la operacion fueron destruidos o inutilizados equipos y maquinaria empleados para la explotacion ilicita de oro, entre ellos una draga, una retroexcavadora, una plataforma de lavado, cinco motores y tres clasificadoras, ademas de combustibles y otros elementos. la operacion represento una afectacion economica superior a $800 millones y evito una extraccion estimada de 8.400 gramos de oro mensuales, valorados en aproximadamente $3.915 millones","otro grupo armado ilegal, ejercito nacional",Mineria,Antioquia,San Francisco,95,Minería,False,San Francisco - Antioquia,"{""Minero"": ""Negativo""}",Minero
20207,2026-07-31,la opinion,Convención,Norte De Santander,Andina,True,False,,Presencia grupos armados ilegales,Solo presencia,Otra,False,eln,,0,"en convencion, norte de santander, habitantes reportaron la presencia de integrantes del eln en distintos puntos del municipio, incluyendo el casco urbano y la via hacia ocana, especificamente en el sector de la cadena, una zona comercial. la presencia de hombres armados genero temor entre la poblacion ante el riesgo de posibles confrontaciones. al momento de la publicacion, las autoridades no habian confirmado oficialmente la situacion",eln,Solo presencia,Norte De Santander,Convención,66,Ninguna,False,Convención - Norte De Santander,{},Ninguno
20211,2026-07-31,ejercito nacional,Cumaribo,Vichada,Orinoquía,False,True,Rural,Acciones de la fuerza publica y otros servidores publicos,Destruccion de otra infraestructura ilegal,Otra,False,"otro grupo armado ilegal, ejercito nacional, fuerza publica no identificada, disidencias de las farc",estructura 44 antonio ricaurte; estado mayor central,0,"en zona rural de cumaribo, vichada, tropas del ejercito nacional, en operacion conjunta con la armada, ubicaron y destruyeron un mega laboratorio para el procesamiento de pasta base de coca y cocaina, perteneciente presuntamente a la estructura 44 “antonio ricaurte” de un grupo armado organizado residual. en el lugar fueron encontrados 3.703 galones de insumos liquidos y 2.359 kg de insumos solidos, ademas de maquinaria y elementos utilizados para la produccion y transporte de estupefacientes. la operacion habria generado una afectacion economica superior a $500 millones y afectado las finanzas de la estructura, que segun el ejercito obtenia mas de $800 millones mensuales por la comercializacion de narcoticos.","otro grupo armado ilegal, ejercito nacional, fuerza publica no identificada, disidencias de las farc",Destruccion de otra infraestructura ilegal,Vichada,Cumaribo,108,Narcotráfico,False,Cumaribo - Vichada,"{""Agropecuario"": ""Negativo""}",Agropecuario
20197,2026-07-30,ejercito nacional,Aguazul,Casanare,Orinoquía,False,False,Rural,Acciones de la fuerza publica y otros servidores publicos,Desactivacion de artefactos explosivos,Otra,False,"eln, ejercito nacional",,0,"en zona rural de aguazul, casanare, tropas del ejercito nacional localizaron un campo minado compuesto por varios artefactos explosivos improvisados, presuntamente instalados recientemente por integrantes del eln. el area fue despejada por personal especializado y los explosivos fueron destruidos de manera controlada, evitando riesgos para los militares y la poblacion civil. segun inteligencia militar, los dispositivos tenian alta capacidad destructiva y estaban dirigidos contra tropas y posiblemente poblacion civil.","eln, ejercito nacional",Desactivacion de artefactos explosivos,Casanare,Aguazul,69,Ninguna,False,Aguazul - Casanare,"{""Agropecuario"": ""Negativo""}",Agropecuario
20198,2026-07-30,la fm,Pueblo Rico,Risaralda,Andina,False,False,Rural,Acciones de los grupos armados al margen de la ley,Activacion de artefacto explosivo,Ataque a infraestructura y bienes civiles,True,"eln, ejercito nacional",frente manuel hernandes el boche; eln,3,"en la vereda el pital, de pueblo rico, risaralda, tropas del batallon san mateo y de la octava brigada del ejercito fueron atacadas con artefactos explosivos improvisados lanzados desde drones, mientras adelantaban operaciones militares en la vereda el pital. el ataque, atribuido por las autoridades a presuntos integrantes del frente manuel hernandez el boche del eln, dejo tres militares heridos, un suboficial y dos soldados profesionales, quienes fueron trasladados a un centro asistencial","eln, ejercito nacional",Activacion de artefacto explosivo,Risaralda,Pueblo Rico,73,Ninguna,False,Pueblo Rico - Risaralda,{},Ninguno
20199,2026-07-30,la fm,Pueblo Rico,Risaralda,Andina,False,False,Rural,Acciones de los grupos armados al margen de la ley,Ataque a personal militar/ ataque francotirador,Ataques contra la fuerza publica,True,"eln, ejercito nacional",frente manuel hernandez el boche; eln,3,"en la vereda el pital, de pueblo rico, risaralda, tropas del batallon san mateo y de la octava brigada del ejercito fueron atacadas con artefactos explosivos improvisados lanzados desde drones, mientras adelantaban operaciones militares en la vereda el pital. el ataque, atribuido por las autoridades a presuntos integrantes del frente manuel hernandez el boche del eln, dejo tres militares heridos, un suboficial y dos soldados profesionales, quienes fueron trasladados a un centro asistencial.","eln, ejercito nacional",Ataque a personal militar/ ataque francotirador,Risaralda,Pueblo Rico,73,Ninguna,False,Pueblo Rico - Risaralda,{},Ninguno
20200,2026-07-30,caracol radio,Miraflores,Guaviare,Amazonia,True,True,,Acciones de los grupos armados al margen de la ley,Confinamiento,Otra,False,disidencias de las farc,bloque jorge suarez briceno; estado mayor de bloques y frentes,0,"en miraflores, guaviare, las autoridades reportaron el confinamiento de comunidades tras la llegada de un nuevo grupo armado ilegal y la circulacion de un audio que imponia restricciones a la movilidad de la poblacion. las restricciones afectaron especialmente el transito por el rio guaviare, principal corredor de abastecimiento del municipio, generando preocupacion por el desabastecimiento de alimentos y otros productos. ante la situacion, el ejercito evaluaba realizar vuelos con viveres para garantizar el abastecimiento de las comunidades. la decision se dio luego de evaluar el impacto que ha tenido el ingreso de integrantes del bloque jorge suarez briceno, al mando de alias calarca, y las restricciones que hoy mantienen aisladas a decenas de comunidades.",disidencias de las farc,Confinamiento,Guaviare,Miraflores,114,Ninguna,False,Miraflores - Guaviare,"{""Ambiental"": ""Negativo"", ""Humanitario"": ""Negativo""}","Ambiental, Humanitario"
20202,2026-07-30,blu radio,Policarpa,Nariño,Pacífico,True,False,Rural,Acciones de los grupos armados al margen de la ley,Secuestro,Otra,False,"policia nacional, desconocido",,1,"en policarpa, narino, un patrullero de la policia, alvaro jair pistala garrido, fue secuestrado por hombres armados en el sector de la vereda altamira. el uniformado se movilizaba en un transporte intermunicipal cuando el vehiculo fue interceptado en un reten ilegal instalado por entre 10 y 15 hombres armados, quienes hicieron descender a los pasajeros y revisaron sus telefonos e informacion personal. tras identificar al patrullero, lo obligaron a bajar del vehiculo y se lo llevaron con rumbo desconocido. los demas pasajeros fueron liberados posteriormente. la policia atribuyo preliminarmente el hecho a integrantes de un grupo armado ilegal sin identificar una estructura en particular. ","policia nacional, desconocido",Secuestro,Nariño,Policarpa,104,Ninguna,False,Policarpa - Nariño,{},Ninguno
